startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,"Mängd mykorrhiza"
kalavverkad,trakthygge,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,trakthygge,0.1,0.75,0.3,0.001,0.85,0.5,0.1,0.75,0.5,0.7,1.3,0.3,5
kalavverkad,trakthygge,10,2.55,0.93,0.0045,4.5,1.8,0.3,1.5,1.35,2.1,3.15,0.3,15
kalavverkad,trakthygge,20,12,3.9,0.036,19.8,8.4,0.15,6.6,6,3.6,13.2,2.25,60
kalavverkad,trakthygge,30,24,8.4,0.084,38.4,15.6,0.36,13.8,13.2,7.2,30,1.44,120
kalavverkad,trakthygge,40,24.6,9.225,0.0984,39.36,15.99,0.369,14.145,13.53,7.38,29.52,2.706,123
kalavverkad,trakthygge,50,24.2,9.68,0.121,36.3,15.73,0.605,14.52,15.73,7.26,27.83,3.025,121
kalavverkad,trakthygge,60,24,9.6,0.156,34.8,14.4,0.66,15.6,16.8,6.6,28.2,2.94,120
kalavverkad,trakthygge,70,23,9.2,0.1955,32.775,13.8,0.667,15.525,17.25,5.98,25.3,3.703,115
kalavverkad,trakthygge,80,21.6,9.18,0.216,30.24,12.96,0.648,15.12,17.28,5.4,22.68,3.672,108
kalavverkad,trakthygge,90,25.75,8.755,0.2575,27.81,12.36,0.6695,15.45,16.995,5.15,21.115,3.4505,103
kalavverkad,trakthygge,100,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,blädning,0.1,21.79166667,7.55,0.250166667,22.02425743,10.18316832,0.605940594,13.59158416,14.39108911,4.325742574,17.05049505,2.827722772,85
kalavverkad,blädning,10,22.09166667,7.655,0.25075,23.50485437,10.8,0.66407767,14.24271845,15.09029126,4.73592233,18.02621359,2.93592233,90
kalavverkad,blädning,20,23.66666667,8.15,0.256,25.4125,11.60357143,0.619196429,14.69107143,15.4375,4.851785714,19.20357143,3.180803571,95
kalavverkad,blädning,30,25.66666667,8.9,0.264,27.16129032,12.19354839,0.622580645,15.12903226,15.83870968,5.193548387,20.96774194,2.893548387,100
kalavverkad,blädning,30.1,21.45833333,7.45,0.214166667,23.19285714,10.37809524,0.527809524,12.71761905,13.22761905,4.517142857,18.02,2.418857143,85
kalavverkad,blädning,40,21.85833333,7.6925,0.21715,24.73494424,11.00576208,0.580315985,13.32351301,13.86468401,4.931598513,18.84814126,2.711040892,90
kalavverkad,blädning,50,23.36666667,8.263333333,0.226166667,26.17814114,11.79406196,0.581282272,13.91807229,14.67185886,5.04595525,19.78975904,3.020869191,95
kalavverkad,blädning,60,25.33333333,9,0.24,27.6875,12.1875,0.596875,14.59375,15.3125,5.28125,21.59375,2.746875,100
kalavverkad,blädning,60.1,21.125,7.55,0.190166667,23.71422018,10.37155963,0.502201835,12.18853211,12.71100917,4.600917431,18.63761468,2.273944954,85
kalavverkad,blädning,70,21.35833333,7.725833333,0.199733333,25.16663653,11.00018083,0.55920434,12.88481013,13.52929476,4.957323689,19.1994575,2.703092224,90
kalavverkad,blädning,80,22.76666667,8.35,0.2135,26.50708263,11.78608769,0.565033727,13.5851602,14.52234401,5.039966273,19.95320405,3.041121417,95
kalavverkad,blädning,90,25.5,9.03,0.235,27.83333333,12.18518519,0.589814815,14.44444444,15.25,5.277777778,21.65740741,2.762037037,100
